run_id	file_index	basename	prompt_tokens	output_tokens	total_tokens	cost_usd	cost_local	elapsed_sec
2025-12-02_002716	1	Deep blue sea (1999) [FHD].en.srt	195685	11024	206709	0.047956	70.383714	236
2025-12-02_002716	3	District 9 (2009) [FHD].en.srt	203231	23307	226538	0.059292	87.021252	416
2025-12-02_002716	2	Deep impact (1998) [FHD].en.srt	172985	26660	199645	0.055925	82.079598	455
2025-12-02_002716	5	The Descent (2005) [FHD].en.srt	168107	9254	177361	0.041025	60.211274	194
2025-12-02_002716	4	Saving private Ryan (1998) [4K].en.srt	294189	29047	323236	0.082075	120.459240	528
